bacteria
Acetobacter aurantius
Acinetobacter spp.
Acinetobacter baumannii
Acinetobacter lwoffii
Actinomyces
Actinomyces israelii
Agrobacterium radiobacter
Agrobacterium tumefaciens
Azorhizobium caulinodans
Azotobacter vinelandii
Anaplasma
Anaplasma phagocytophilum
Bacillus
Bacillus anthracis
Bacillus brevis
Bacillus cereus
Bacillus fusiformis
Bacillus licheniformis
Bacillus megaterium
Bacillus mycoides
Bacillus stearothermophilus
Bacillus subtilis
Bacteroides
Bacteroides fragilis
Bacteroides melaninogenicus
Bartonella
Bartonella henselae
Bartonella quintana
Bordetella
Bordetella bronchiseptica
Bordetella pertussis
Borrelia burgdorferi
Brucella
Brucella abortus
Brucella melitensis
Brucella ovis
Brucella suis
Burkholderia
Burkholderia mallei
Burkholderia pseudomallei
Burkholderia cepacia (MDR)
Campylobacter
Campylobacter coli
Campylobacter fetus
Campylobacter jejuni
Campylobacter pylori
Chlamydia
Chlamydia trachomatis
Chlamydophila
Chlamydophila pneumoniae (Chlamydia pneumoniae)
Chlamydophila psittaci (Chlamydia psittaci)
Chlamydophila trachomatis
Citrobacter
Clostridium
Clostridium botulinum
Clostridium difficile
Clostridium perfringens (Clostridium welchii)
Clostridium tetani
Corynebacterium
Corynebacterium diphtheriae
Corynebacterium fusiforme
Corynebacterium pseudotubercolosis
Corynebacterium ulcerans
Coxiella burnetii
Ehrlichia chaffeensis
Enterobacter
Enterobacter aerogenes
Enterobacter cloacae (ESBL)
Enterococcus
Enterococcus avium
Enterococcus durans
Enterococcus faecalis (VRE)
Enterococcus faecium (VRE)
Enterococcus galllinarum
Enterococcus hirae
Enterococcus maloratus
"Escherichia coli (auch EHEC, EPEC, ETEC, EIEC, EAEC, ESBL, DAEC)"
Francisella tularensis
Fusobacterium nucleatum
Gardnerella vaginalis
Haemophilus
Haemophilus ducreyi
Haemophilus influenzae
Haemophilus parainfluenzae
Haemophilus pertussis
Haemophilus vaginalis
Helicobacter pylori
Klebsiella
Klebsiella granulomatis
Klebsiella oxytoca (ESBL)
"Klebsiella pneumoniae (MDR, ESBL)"
Lactobacillus
Lactobacillus acidophilus
Lactobacillus bulgaricus
Lactobacillus casei
Lactococcus lactis
Leclercia adecarboxylata
Legionella pneumophila
Leptospira interrogans
Leuconostoc pseudomesenteroides
 Listerien
Listeria monocytogenes
Methanobacterium extroquens
Microbacterium multiforme
Micrococcus luteus
Moraxella catarrhalis
Morganella (ESBL)
Mycobacterium
Mycobacterium avium
Mycobacterium bovis
Mycobacterium diphtheriae
Mycobacterium intracellulare
Mycobacterium leprae
Mycobacterium lepraemurium
Mycobacterium phlei
Mycobacterium smegmatis
Mycobacterium tuberculosis (MDR)
Mycoplasma
Mycoplasma fermentans
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma penetrans
Mycoplasma pneumoniae
 Neisseria
 Neisseria gonorrhoeae
 Neisseria meningitidis
Orientia tsutsugamushi
Pasteurella
Pasteurella multocida
Pasteurella tularensis
Peptostreptococcus
Porphyromonas gingivalis
Proteus mirabilis
Proteus vulgaris
Providencia stuartii
Pseudomonas
Pseudomonas aeruginosa
Ralstonia
Rhizobium radiobacter
Rickettsia
Rickettsia prowazekii
Rickettsia psittaci
Rickettsia quintana
Rickettsia rickettsii
Rickettsia trachomae
Rickettsia typhi
Salmonella
Salmonella Enteritidis
Salmonella Paratyphi
Salmonella Typhi
Salmonella Typhimurium
Serratia marcescens
Shigella dysenteriae
Shigella sonnei
Staphylococcus
"Staphylococcus aureus (MRSA, VRSA)  "
Staphylococcus capitis
Staphylococcus epidermidis
Staphylococcus haemolyticus 
Staphylococcus hominis 
Staphylococcus lugdunensis
Staphylococcus saprophyticus 
Stenotrophomonas maltophilia
Streptococcus
Streptococcus agalactiae
Streptococcus avium
Streptococcus bovis
Streptococcus cricetus
Streptococcus faceium
Streptococcus faecalis
Streptococcus ferus
Streptococcus gallinarum
Streptococcus lactis
Streptococcus mitior
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae (PRSP)
Streptococcus pyogenes
Streptococcus rattus
Streptococcus salivarius
Streptococcus sanguis
Streptococcus sobrinus
Treponema
Treponema pallidum
Treponema denticola
Vibrio
Vibrio cholerae
Vibrio comma
Vibrio parahaemolyticus
Vibrio vulnificus
Wolbachia
Yersinia
Yersinia enterocolitica
Yersinia pestis
Yersinia pseudotuberculosis
