pubmed_id,title,journal,abstract,doi,authors
33685690,"In vitro antimicrobial resistance profiles of Streptococcus uberis, Lactococcus spp., and Enterococcus spp. from quarter milk samples of cows between 2015 and 2019 in Southern Germany.",Journal of dairy science,"The objective was to describe and compare antimicrobial resistance patters of esculin-hydrolyzing streptococci and streptococcal-like organisms (Streptococcus uberis, Enterococcus faecium, Enterococcus faecalis, Lactococcus garvieae, Lactococcus lactis) from routine diagnostic samples of the udder health laboratory of the Bavarian Animal Health Services between 2015 and 2019. All routine diagnostic samples of the udder health laboratory of the Bavarian Animal Health Services, that were tested with a standard microbroth dilution, were eligible to be included in this retrospective case series. A California Mastitis Test result was available for all samples. Most Strep. uberis and L. lactis were susceptible to all antibiotics tested. Enterococcus faecium had consistently the highest minimum inhibitory concentration required to inhibit the growth of 90% of tested isolates. The resistance patterns of Lactococcus garvieae were positioned between enterococci and L. lactis. The minimum inhibitory concentration for various antibiotics and pathogens tended to decrease over the 5-yr period. Regardless of the pathogen, isolates of clinical cases were less likely to express in vitro resistance than isolates of healthy or subclinical cases. Streptococcus uberis or L. lactis showed hardly any in vitro resistance to tested antibiotic groups. Penicillin should remain the first-choice antimicrobial for the therapy of Strep. uberis and Lactococcus spp. However, a success of any antimicrobial treatment of enterococcal infections seems questionable.",10.3168/jds.2020-19896,"[{'lastname': 'Sorge', 'firstname': 'Ulrike S', 'initials': 'US', 'affiliation': 'Department of Udder Health and Milk Quality, Bavarian Animal Health Services, 85586 Poing, Germany. Electronic address: ulrike.sorge@tgd-bayern.de.'}, {'lastname': 'Huber-Schlenstedt', 'firstname': 'R', 'initials': 'R', 'affiliation': 'Department of Udder Health and Milk Quality, Bavarian Animal Health Services, 85586 Poing, Germany.'}, {'lastname': 'Schierling', 'firstname': 'K', 'initials': 'K', 'affiliation': 'Department of Udder Health and Milk Quality, Bavarian Animal Health Services, 85586 Poing, Germany.'}]"
33679984,Discovery of a Novel Lineage ,International journal of microbiology,"In this study, we report the isolation and identification of an endophytic strain of ",10.1155/2021/6618559,"[{'lastname': 'de Paula Nogueira Cruz', 'firstname': 'Felipe', 'initials': 'F', 'affiliation': 'Laboratory of Microbiology and Biomolecules-LaMiB, Department of Morphology and Pathology, Federal University of São Carlos, São Carlos, Brazil.\nLaboratory of Inflammation and Infectious Diseases-LIDI, Federal University of São Carlos, São Carlos, Brazil.\nBiotechnology Graduate Program, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Ferreira de Paula', 'firstname': 'Ailton', 'initials': 'A', 'affiliation': 'Laboratory of Microbiology and Biomolecules-LaMiB, Department of Morphology and Pathology, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Nogueira', 'firstname': 'Camila Tita', 'initials': 'CT', 'affiliation': 'Laboratory of Inflammation and Infectious Diseases-LIDI, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Marques de Andrade', 'firstname': 'Paulo Henrique', 'initials': 'PH', 'affiliation': 'Laboratory of Microbiology and Biomolecules-LaMiB, Department of Morphology and Pathology, Federal University of São Carlos, São Carlos, Brazil.\nLaboratory of Inflammation and Infectious Diseases-LIDI, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Borges', 'firstname': 'Leonardo Maurici', 'initials': 'LM', 'affiliation': 'Laboratory of Taxonomy and Plant Evolution-TaxEP, Department of Botany, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Lacava', 'firstname': 'Paulo Teixeira', 'initials': 'PT', 'affiliation': 'Laboratory of Microbiology and Biomolecules-LaMiB, Department of Morphology and Pathology, Federal University of São Carlos, São Carlos, Brazil.\nBiotechnology Graduate Program, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Baratella da Cunha Camargo', 'firstname': 'Ilana Lopes', 'initials': 'IL', 'affiliation': 'Laboratory of Molecular Epidemiology and Microbiology, Physics Institute of Sao Carlos, University of Sao Paulo, São Carlos, Brazil.'}, {'lastname': 'Aníbal', 'firstname': 'Fernanda de Freitas', 'initials': 'FF', 'affiliation': 'Laboratory of Inflammation and Infectious Diseases-LIDI, Federal University of São Carlos, São Carlos, Brazil.\nBiotechnology Graduate Program, Federal University of São Carlos, São Carlos, Brazil.'}, {'lastname': 'Paiva de Sousa', 'firstname': 'Cristina', 'initials': 'C', 'affiliation': 'Laboratory of Microbiology and Biomolecules-LaMiB, Department of Morphology and Pathology, Federal University of São Carlos, São Carlos, Brazil.\nBiotechnology Graduate Program, Federal University of São Carlos, São Carlos, Brazil.'}]"
33679682,Exploring the Therapeutic Potenital of the Leaderless Enterocins K1 and EJ97 in the Treatment of Vancomycin-Resistant Enterococcal Infection.,Frontiers in microbiology,The membrane-bound protease Eep is an important virulence factor in pathogenic enterococci. The protein is involved in stress response via the RIP pathway which is crucial for pathogenic enterococci to evade host immune attacks during infection. Eep serves also as a receptor for the bacteriocins enterocin K1 and enterocin EJ97. The bacteriocins kill ,10.3389/fmicb.2021.649339,"[{'lastname': 'Reinseth', 'firstname': 'Ingvild', 'initials': 'I', 'affiliation': 'Faculty of Chemistry, Biotechnology and Food Science, Norwegian University of Life Sciences, Ås, Norway.'}, {'lastname': 'Tønnesen', 'firstname': 'Hanne H', 'initials': 'HH', 'affiliation': 'Section of Pharmaceutics and Social Pharmacy, Department of Pharmacy, University of Oslo, Blindern, Oslo, Norway.'}, {'lastname': 'Carlsen', 'firstname': 'Harald', 'initials': 'H', 'affiliation': 'Faculty of Chemistry, Biotechnology and Food Science, Norwegian University of Life Sciences, Ås, Norway.'}, {'lastname': 'Diep', 'firstname': 'Dzung B', 'initials': 'DB', 'affiliation': 'Faculty of Chemistry, Biotechnology and Food Science, Norwegian University of Life Sciences, Ås, Norway.'}]"
33678902,Biodiversity of meatborne ,Journal of food science and technology,This study determined the anti-listerial activity of indigenous probiotics from traditional fermented foods of Western Himalaya against meat borne ,10.1007/s13197-020-04854-z,"[{'lastname': 'Sharma', 'firstname': 'Aakriti', 'initials': 'A', 'affiliation': 'Department of Microbiology, College of Basic Sciences, CSK Himachal Pradesh Agricultural University, Palampur, Himachal Pradesh 176062 India.'}, {'lastname': 'Kanwar', 'firstname': 'S S', 'initials': 'SS', 'affiliation': 'Department of Microbiology, College of Basic Sciences, CSK Himachal Pradesh Agricultural University, Palampur, Himachal Pradesh 176062 India.'}, {'lastname': 'Thakur', 'firstname': 'Sidharath Dev', 'initials': 'SD', 'affiliation': 'Department of Veterinary Public Health and Epidemiology, Dr. GC Negi College of Veterinary and Animal Sciences, CSK Himachal Pradesh Agricultural University, Palampur, Himachal Pradesh 176062 India.'}]"
33671753,Spread of Linezolid-Resistant ,"Antibiotics (Basel, Switzerland)","The aim of this study was to map and investigate linezolid resistance mechanisms in linezolid-resistant enterococci in the Czech Republic from 2009 to 2019. Altogether, 1442 isolates of ",10.3390/antibiotics10020219,"[{'lastname': 'Mališová', 'firstname': 'Lucia', 'initials': 'L', 'affiliation': 'National Reference Laboratory for Antibiotics, Centre for Epidemiology and Microbiology, National Institute of Public Health, 10000 Prague, Czech Republic.\nDepartment of Microbiology, 3rd Faculty of Medicine Charles University, University Hospital Kralovske Vinohrady and National Institute of Public Health, 10000 Prague, Czech Republic.'}, {'lastname': 'Jakubů', 'firstname': 'Vladislav', 'initials': 'V', 'affiliation': 'National Reference Laboratory for Antibiotics, Centre for Epidemiology and Microbiology, National Institute of Public Health, 10000 Prague, Czech Republic.\nDepartment of Microbiology, 3rd Faculty of Medicine Charles University, University Hospital Kralovske Vinohrady and National Institute of Public Health, 10000 Prague, Czech Republic.\nDepartment of Clinical Microbiology, Faculty of Medicine and University Hospital, Charles University, 53002 Hradec Kralove, Czech Republic.'}, {'lastname': 'Pomorská', 'firstname': 'Katarína', 'initials': 'K', 'affiliation': 'National Reference Laboratory for Antibiotics, Centre for Epidemiology and Microbiology, National Institute of Public Health, 10000 Prague, Czech Republic.'}, {'lastname': 'Musílek', 'firstname': 'Martin', 'initials': 'M', 'affiliation': 'National Reference Laboratory for Meningococcal Infections, Centre for Epidemiology and Microbiology, National Institute of Public Health, 10000 Prague, Czech Republic.'}, {'lastname': 'Žemličková', 'firstname': 'Helena', 'initials': 'H', 'affiliation': 'National Reference Laboratory for Antibiotics, Centre for Epidemiology and Microbiology, National Institute of Public Health, 10000 Prague, Czech Republic.\nDepartment of Microbiology, 3rd Faculty of Medicine Charles University, University Hospital Kralovske Vinohrady and National Institute of Public Health, 10000 Prague, Czech Republic.\nDepartment of Clinical Microbiology, Faculty of Medicine and University Hospital, Charles University, 53002 Hradec Kralove, Czech Republic.'}]"
33668904,Effects of Prebiotics and Probiotics on Honey Bees (,Microorganisms,,10.3390/microorganisms9030481,"[{'lastname': 'Borges', 'firstname': 'Daniel', 'initials': 'D', 'affiliation': ""Ontario Beekeepers' Association Technology Transfer Program, 5420 Hwy 6 N, Suite 185, Orchard Park Office, Guelph, ON N1H 6J2, Canada.""}, {'lastname': 'Guzman-Novoa', 'firstname': 'Ernesto', 'initials': 'E', 'affiliation': 'School of Environmental Sciences, University of Guelph, 50 Stone Road East, Guelph, ON N1G 2W1, Canada.'}, {'lastname': 'Goodwin', 'firstname': 'Paul H', 'initials': 'PH', 'affiliation': 'School of Environmental Sciences, University of Guelph, 50 Stone Road East, Guelph, ON N1G 2W1, Canada.'}]"
33663929,First characterization of Tn1546-like structures of vancomycin-resistant Enterococcus faecium Thai isolates.,Journal of infection and chemotherapy : official journal of the Japan Society of Chemotherapy,"Vancomycin-resistant Enterococcus faecium (VREfm) carrying vanA was first isolated from patient at Siriraj Hospital, Thailand in 2004. Since then, VREfm isolates have been detected increasingly in this 2500-bed university hospital. To understand the epidemiology of vanA VREfm in this setting, the isolates collected during 2004-2013 were characterized.
A total of 49 vanA VREfm isolates previously confirmed by multiplex PCR were characterized by determining resistance phenotypes to vancomycin, teicoplanin, ampicillin and ciprofloxacin by broth microdilution method. Multilocus sequence typing (MLST) and virulence genes of those isolates were investigated. The Tn1546 structure diversity was studied by long-range overlapping PCR and primer walking sequencing.
Of all isolates studied, 9 sequence types (ST17, ST80, ST78, ST730, ST203, ST18, ST280, ST64, ST323) in clonal complex 17 and a novel ST1051 were revealed. The esp-positive isolates were 73.5%. Of all vanA operons characterized, at least 9 types of Tn1546-like structures were detected. All of vanA determinants contained 5'-end different from the Tn1546 prototype. Approximately 47% of them also carried the insertion sequence IS1251 at the intergenic region between vanS and vanH. Interestingly, another IS (ISEfa4) was found to be inside the sequence of IS1251 in ST17 isolate.
Heterogeneity of vanA VREfm was observed. Nearly all of isolates studied belonged to CC17. One novel ST1051 strain was detected. Isolates in the initial period carried vanA operon similar to the prototype. The diversity of vanA determinants has been increased in the recent isolates. A novel vanA operon structure was detected.",10.1016/j.jiac.2021.02.013,"[{'lastname': 'Wongnak', 'firstname': 'Kornikar', 'initials': 'K', 'affiliation': 'Department of Microbiology, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand.'}, {'lastname': 'Pattanachaiwit', 'firstname': 'Supanit', 'initials': 'S', 'affiliation': 'Department of Microbiology, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand.'}, {'lastname': 'Rattanasirirat', 'firstname': 'Wasinee', 'initials': 'W', 'affiliation': 'Department of Microbiology, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand.'}, {'lastname': 'Limsrivanichakorn', 'firstname': 'Sunee', 'initials': 'S', 'affiliation': 'Department of Microbiology, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand.'}, {'lastname': 'Kiratisin', 'firstname': 'Pattarachai', 'initials': 'P', 'affiliation': 'Department of Microbiology, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand.'}, {'lastname': 'Assanasen', 'firstname': 'Susan', 'initials': 'S', 'affiliation': 'Department of Medicine, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand.'}, {'lastname': 'Leelaporn', 'firstname': 'Amornrut', 'initials': 'A', 'affiliation': 'Department of Microbiology, Faculty of Medicine Siriraj Hospital, Mahidol University, Bangkoknoi, Bangkok, 10700, Thailand. Electronic address: amornrut.lee@mahidol.ac.th.'}]"
33652336,Evaluation of Enterococcus faecium NRRL B-2354 as a surrogate for Salmonella in ground black pepper at different water activities.,International journal of food microbiology,"Thermal inactivation kinetics of Salmonella in low moisture foods are necessary for developing proper thermal processing parameters for pasteurization. The effect of water activity on thermal inactivation kinetics of Salmonella and Enterococcus faecium NRRL B-2354 in ground black pepper has not been studied previously. Identification of a suitable surrogate assists in conducting in-plant process validations. Ground black pepper was inoculated with a 5-serotype Salmonella cocktail or E. faecium NRRL B-2354, equilibrated to water activities of 0.25, 0.45 or 0.65 in a humidity-controlled chamber, and isothermally treated at different temperatures. The survivor data were used for fitting the log-linear models to obtain the D and z-values of Salmonella and E. faecium in ground black pepper. Modified Bigelow models were developed to evaluate the effects of temperature and water activity on the thermal inactivation kinetics of Salmonella and E. faecium. Water activity and temperature showed significant negative effects on the thermal resistance of Salmonella and E. faecium in ground black pepper. For example, significantly higher D values of Salmonella were observed at water activity of 0.45 (D",10.1016/j.ijfoodmicro.2021.109114,"[{'lastname': 'Wei', 'firstname': 'Xinyao', 'initials': 'X', 'affiliation': 'Department of Food Science and Technology, University of Nebraska-Lincoln, NE, USA.'}, {'lastname': 'Vasquez', 'firstname': 'Sabrina', 'initials': 'S', 'affiliation': 'Department of Food Science and Technology, University of Nebraska-Lincoln, NE, USA.'}, {'lastname': 'Thippareddi', 'firstname': 'Harshavardhan', 'initials': 'H', 'affiliation': 'Department of Poultry Science, University of Georgia, Athens, GA, USA.'}, {'lastname': 'Subbiah', 'firstname': 'Jeyamkondan', 'initials': 'J', 'affiliation': 'Department of Food Science and Technology, University of Nebraska-Lincoln, NE, USA; Department of Food Science, University of Arkansas System Division of Agriculture, Fayetteville, AR, USA. Electronic address: jsubbiah@uark.edu.'}]"
33650391,High-level Gentamicin Resistance among Clinical Isolates of Enterococci in Iran: a Systematic Review and Meta-analysis.,Folia medica,"Enterococci have been considered as one of the most common causes of nosocomial infections. The spread of antibiotic resistance has posed a serious challenge to treating the enterococcal infections. High-level aminoglycosides resistance leads to failure in the synergistic combination therapy. This study aimed to estimate the prevalence of high-level gentamicin resistance (HLGR) among clinical isolates of enterococci in Iran.Systematic literature search was conducted in the Web of Science, PubMed, Scopus and Google Scholar electronic databases from ar-ticles which were published from April 2000 to September 2018. Literature search yielded 918 studies. Eligible studies were selected ac-cording to the defined inclusion and exclusion criteria. Statistical heterogeneity was estimated by Q statistic and the I2 index. The Begg's rank correlation test and Egger's weighted regression tests were used to evaluate possible publication bias.Nineteen studies were included in this review. According to the meta-analysis results, the prevalence of HLGR among Enterococcus spp. was 49.4% (95% CI: 42.2%-56.6%). It was estimated 44.3% (95% CI: 38.1%-50.8%) and 66.3% (95% CI: 51.4%-78.6%) for E. faecalis and E. faecium, respectively.Since notable rate of HLGR in enterococci was seen in this analysis, improving the implementation of all aspects of the infection control programmes is required. Accurate and regular monitoring of infection control procedures are necessary for reducing the dissemination of such infections.",10.3897/folmed.63.e53506,"[{'lastname': 'Shahini Shams Abadi', 'firstname': 'Milad', 'initials': 'M', 'affiliation': 'Shahrekord University of Medical Sciences, Shahrekord, Iran.'}, {'lastname': 'Taji', 'firstname': 'Asieh', 'initials': 'A', 'affiliation': 'Shiraz University of Medical Sciences, Shiraz, Iran.'}, {'lastname': 'Salehi', 'firstname': 'Fatemeh', 'initials': 'F', 'affiliation': 'Shahrekord University of Medical Sciences, Shahrekord, Iran.'}, {'lastname': 'Kazemian', 'firstname': 'Hossein', 'initials': 'H', 'affiliation': 'Ilam University of Medical Sciences, Ilam, Iran.'}, {'lastname': 'Heidari', 'firstname': 'Hamid', 'initials': 'H', 'affiliation': 'Shahid Sadoughi University of Medical Sciences, Yazd, Iran.'}]"
33649110,Lytic bacteriophages facilitate antibiotic sensitization of ,Antimicrobial agents and chemotherapy,,10.1128/AAC.00143-21,"[{'lastname': 'Canfield', 'firstname': 'Gregory S', 'initials': 'GS', 'affiliation': 'Division of Infectious Diseases, University of Colorado School of Medicine, Aurora, Colorado, USA.\nDepartment of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'Chatterjee', 'firstname': 'Anushila', 'initials': 'A', 'affiliation': 'Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'Espinosa', 'firstname': 'Juliel', 'initials': 'J', 'affiliation': 'Laboratory of Chemical Biology and Microbial Pathogenesis, The Rockefeller University, New York, New York, USA.'}, {'lastname': 'Mangalea', 'firstname': 'Mihnea R', 'initials': 'MR', 'affiliation': 'Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'Sheriff', 'firstname': 'Emma K', 'initials': 'EK', 'affiliation': 'Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'Keidan', 'firstname': 'Micah', 'initials': 'M', 'affiliation': 'Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'McBride', 'firstname': 'Sara W', 'initials': 'SW', 'affiliation': 'Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'McCollister', 'firstname': 'Bruce D', 'initials': 'BD', 'affiliation': 'Division of Infectious Diseases, University of Colorado School of Medicine, Aurora, Colorado, USA.'}, {'lastname': 'Hang', 'firstname': 'Howard C', 'initials': 'HC', 'affiliation': 'Laboratory of Chemical Biology and Microbial Pathogenesis, The Rockefeller University, New York, New York, USA.\nDepartments of Immunology & Microbiology and Chemistry, Scripps Research, La Jolla, California, USA.'}, {'lastname': 'Duerkop', 'firstname': 'Breck A', 'initials': 'BA', 'affiliation': 'Department of Immunology and Microbiology, University of Colorado School of Medicine, Aurora, Colorado, USA breck.duerkop@cuanschutz.edu.'}]"
