,PMID,FAU,TI,AB,IS,DP,AUID,AID,LA,PL,OT,CI,RN,MH
0,24501647,"['Anderson, Iain', 'Teshima, Huzuki', 'Nolan, Matt', 'Lapidus, Alla', 'Tice, Hope', 'Del Rio, Tijana Glavina', 'Cheng, Jan-Fang', 'Han, Cliff', 'Tapia, Roxanne', 'Goodwin, Lynne A', 'Pitluck, Sam', 'Liolios, Konstantinos', 'Mavromatis, Konstantinos', 'Pagani, Ioanna', 'Ivanova, Natalia', 'Mikhailova, Natalia', 'Pati, Amrita', 'Chen, Amy', 'Palaniappan, Krishna', 'Land, Miriam', 'Rohde, Manfred', 'Lang, Elke', 'Detter, John C', 'Goker, Markus', 'Woyke, Tanja', 'Bristow, James', 'Eisen, Jonathan A', 'Markowitz, Victor', 'Hugenholtz, Philip', 'Kyrpides, Nikos C', 'Klenk, Hans-Peter']","Genome sequence of Frateuria aurantia type strain (Kondo 67(T)), a xanthomonade isolated from Lilium auratium Lindl.","Frateuria aurantia (ex Kondo and Ameyama 1958) Swings et al. 1980 is a member of the bispecific genus Frateuria in the family Xanthomonadaceae, which is already heavily targeted for non-type strain genome sequencing. Strain Kondo 67(T) was initially (1958) identified as a member of 'Acetobacter aurantius', a name that was not considered for the approved list. Kondo 67(T) was therefore later designated as the type strain of the newly proposed acetogenic species Frateuria aurantia . The strain is of interest because of its triterpenoids (hopane family). F. aurantia Kondo 67(T) is the first member of the genus Frateura whose genome sequence has been deciphered, and here we describe the features of this organism, together with the complete genome sequence and annotation. The 3,603,458-bp long chromosome with its 3,200 protein-coding and 88 RNA genes is a part of the G enomic E ncyclopedia of Bacteria and Archaea project.",1944-3277 (Print) 1944-3277 (Linking),2013 Oct 16,,"['10.4056/sigs.4338002 [doi]', 'sigs.4338002 [pii]']",['eng'],England,"['GEBA', 'Xanthomonadaceae', 'acetogenic', 'mesophilic', 'motile', 'rod-shaped', 'strictly aerobic', ""'Acetobacter aurantius'""]",,,
1,33903107,"['Kornelsen, Vanessa', 'Kumar, Ayush']",Multidrug Resistance Efflux Pumps in Acinetobacter spp.: An Update.,"Acinetobacter spp. have become of increased clinical importance as studies have shown the antimicrobial resistant potential of these species. Efflux pumps can lead to reduced susceptibility to a variety of antibiotics and are present in large number across Acinetobacter spp. There are six families of efflux pumps that have been shown to be of clinical relevance: the Major Facilitator Superfamily (MFS), Small Multidrug Resistance (SMR) family, ATP-binding cassette (ABC) family, Multidrug and Toxic Compound Extrusion (MATE) family, Proteobacterial Antimicrobial Compound Efflux (PACE) family and Resistance-Nodulation-Division (RND) family. A lot of work has been done on understanding and characterizing the roles that these efflux pumps play in relation to antimicrobial resistance and the physiology of these bacteria. RND efflux pumps, with their expansive substrate profiles, are a major component of Acinetobacter spp. antimicrobial resistance. New discoveries over the last decade have shed a lot of light on to the complex regulation of these efflux pumps leading to greater understanding and potential of slowing the reduced susceptibility seen by these bacterial species.",1098-6596 (Electronic) 0066-4804 (Linking),2021 Apr 26,['ORCID: https://orcid.org/0000-0001-6395-7932'],"['AAC.00514-21 [pii]', '10.1128/AAC.00514-21 [doi]']",['eng'],United States,,['Copyright (c) 2021 American Society for Microbiology.'],,
2,33901665,"['Matuschek, Erika', 'Brolund, Alma', 'Lindsjo, Oskar Karlsson', 'Giske, Christian G', 'Byfors, Sara', 'Kahlmeter, Gunnar']",Revisiting colistin susceptibility testing: Will adding calcium to Mueller-Hinton agar improve the detection of colistin resistance?,"OBJECTIVES: To investigate if adding calcium to Mueller-Hinton agar for gradient MIC or disk diffusion tests could improve separation between colistin susceptible and resistant populations of Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa and Acinetobacter spp. and if this method could provide a reliable screening test for colistin resistance in routine laboratories. METHODS: An isolate collection of 57 E. coli, K. pneumoniae, Pseudomonas aeruginosa and Acinetobacter spp. was tested. Ca(2+) in concentrations from 2.5-40 mM was added to the Mueller-Hinton agar plates used for gradient MIC and disk diffusion tests. Broth microdilution (ISO 20776-1) MIC determination was used as reference. E. coli and K. pneumoniae were investigated for colistin resistance genes. RESULTS: Results were similar for gradient tests and disk diffusion for all species. Correlation between phenotypic expression of resistance and resistance genes was not absolute. Addition of Ca(2+) to Mueller-Hinton agar improved separation between colistin susceptible and resistant isolates for E. coli. For K. pneumoniae, separation was improved for isolates with mcr genes, but not for isolates harbouring other colistin resistance mechanisms. To further increase the concentrations of Ca(2+) did not improve the separation between susceptible and resistant isolates of E. coli and K. pneumoniae. For P. aeruginosa and Acinetobacter species, addition of Ca(2+) did not improve separation between susceptible and resistant populations. CONCLUSIONS: The results from this study show that addition of Ca(2+) to the Mueller-Hinton agar does not sufficiently improve detection of colistin resistance by gradient MIC or disk diffusion tests for use in a routine laboratory.",1469-0691 (Electronic) 1198-743X (Linking),2021 Apr 23,,"['S1198-743X(21)00197-X [pii]', '10.1016/j.cmi.2021.04.014 [doi]']",['eng'],England,"['Calcium', 'Colistin', 'Disk diffusion', 'MIC determination', 'Resistance']","['Copyright (c) 2021 European Society of Clinical Microbiology and Infectious', 'Diseases. Published by Elsevier Ltd. All rights reserved.']",,
3,33892804,"['Ngoi, Soo Tein', 'Chong, Chun Wie', 'Ponnampalavanar, Sasheela Sri La Sri', 'Tang, Soo Nee', 'Idris, Nuryana', 'Abdul Jabar, Kartini', 'Gregory, Michael J', 'Husain, Tupur', 'Teh, Cindy Shuan Ju']",Genetic mechanisms and correlated risk factors of antimicrobial-resistant ESKAPEE pathogens isolated in a tertiary hospital in Malaysia.,"BACKGROUND: Knowledge on the epidemiology, genotypic and phenotypic features of antimicrobial-resistant (AMR) ESKAPEE pathogens (Enterococcus faecium, Staphylococcus aureus, Klebsiella pneumoniae, Acinetobacter baumannii, Pseudomonas aeruginosa, Enterobacter spp., and Escherichia coli) and their association with hospital-acquired infections (HAIs) are limited in Malaysia. Therefore, we evaluated the AMR features and resistance mechanisms of the ESKAPEE pathogens collected in a tertiary hospital located in the capital of Malaysia. METHODS: A total of 378 AMR-ESKAPEE strains were obtained based on convenience sampling over a nine-month study period (2019-2020). All strains were subjected to disk diffusion and broth microdilution assays to determine the antimicrobial susceptibility profiles. Polymerase chain reaction (PCR) and DNA sequence analyses were performed to determine the AMR genes profiles of the non-susceptible strains. Chi-square test and logistic regression analyses were used to correlate the AMR profiles and clinical data to determine the risk factors associated with HAIs. RESULTS: High rates of multidrug resistance (MDR) were observed in A. baumannii, K. pneumoniae, E. coli, and S. aureus (69-89%). All organisms except E. coli were frequently associated with HAIs (61-94%). Non-susceptibility to the last-resort drugs vancomycin (in Enterococcus spp. and S. aureus), carbapenems (in A. baumannii, P. aeruginosa, and Enterobacteriaceae), and colistin (in Enterobacteriaceae) were observed. Both A. baumannii and K. pneumoniae harbored a wide array of extended-spectrum beta-lactamase genes (blaTEM, blaSHV, blaCTX-M, blaOXA). Metallo-beta-lactamase genes (blaVEB, blaVIM, blaNDM) were detected in carbapenem-resistant strains, at a higher frequency compared to other local reports. We detected two novel mutations in the quinolone-resistant determining region of the gyrA in fluoroquinolone-resistant E. coli (Leu-102-Ala; Gly-105-Val). Microbial resistance to ampicillin, methicillin, and cephalosporins was identified as important risk factors associated with HAIs in the hospital. CONCLUSION: Overall, our findings may provide valuable insight into the microbial resistance pattern and the risk factors of ESKAPEE-associated HAIs in a tertiary hospital located in central Peninsular Malaysia. The data obtained in this study may contribute to informing better hospital infection control in this region.",2047-2994 (Electronic) 2047-2994 (Linking),2021 Apr 23,,"['10.1186/s13756-021-00936-5 [doi]', '10.1186/s13756-021-00936-5 [pii]']",['eng'],England,"['AMR-conferring genes', 'Minimum inhibitory concentration', 'Molecular epidemiology', 'Multidrug-resistant organisms', 'Nosocomial infections', 'Risk factors analysis']",,,
4,33889142,"['Vega, Fernando E', 'Emche, Sarah', 'Shao, Jonathan', 'Simpkins, Ann', 'Summers, Ryan M', 'Mock, Meredith B', 'Ebert, Dieter', 'Infante, Francisco', 'Aoki, Sayaka', 'Maul, Jude E']","Cultivation and Genome Sequencing of Bacteria Isolated From the Coffee Berry Borer (Hypothenemus hampei), With Emphasis on the Role of Caffeine Degradation.","The coffee berry borer, the most economically important insect pest of coffee worldwide, is the only insect capable of feeding and reproducing solely on the coffee seed, a food source containing the purine alkaloid caffeine. Twenty-one bacterial species associated with coffee berry borers from Hawai'i, Mexico, or a laboratory colony in Maryland (Acinetobacter sp. S40, S54, S55, Bacillus aryabhattai, Delftia lacustris, Erwinia sp. S38, S43, S63, Klebsiella oxytoca, Ochrobactrum sp. S45, S46, Pantoea sp. S61, Pseudomonas aeruginosa, P. parafulva, and Pseudomonas sp. S30, S31, S32, S37, S44, S60, S75) were found to have at least one of five caffeine N-demethylation genes (ndmA, ndmB, ndmC, ndmD, ndmE), with Pseudomonas spp. S31, S32, S37, S60 and P. parafulva having the full complement of these genes. Some of the bacteria carrying the ndm genes were detected in eggs, suggesting possible vertical transmission, while presence of caffeine-degrading bacteria in frass, e.g., P. parafulva (ndmABCDE) and Bacillus aryabhattai (ndmA) could result in horizontal transmission to all insect life stages. Thirty-five bacterial species associated with the insect (Acinetobacter sp. S40, S54, S55, B. aryabhattai, B. cereus group, Bacillus sp. S29, S70, S71, S72, S73, D. lacustris, Erwinia sp. S38, S43, S59, S63, K. oxytoca, Kosakonia cowanii, Ochrobactrum sp. S45, S46, Paenibacillus sp. S28, Pantoea sp. S61, S62, P. aeruginosa, P. parafulva, Pseudomonas sp. S30, S31, S32, S37, S44, S60, S75, Stenotrophomonas sp. S39, S41, S48, S49) might contribute to caffeine breakdown using the C-8 oxidation pathway, based on presence of genes required for this pathway. It is possible that caffeine-degrading bacteria associated with the coffee berry borer originated as epiphytes and endophytes in the coffee plant microbiota.",1664-302X (Print) 1664-302X (Linking),2021,,['10.3389/fmicb.2021.644768 [doi]'],['eng'],Switzerland,"['Coffea', 'Coleoptera (beetles)', 'Hypothenemus hampei', 'bark beetle', 'broca del cafe', 'coffee', 'symbiosis', 'symbiotes']","['Copyright (c) 2021 Vega, Emche, Shao, Simpkins, Summers, Mock, Ebert, Infante,', 'Aoki and Maul.']",,
5,33883831,"['Yayan, Emriye Hilal', 'Demirel Oner, Pinar', 'Coskun Simsek, Didem', 'Zengin, Murside']",Hand Microbial Flora of Hospitalized Children at the Beginning of Hospitalization and Before Discharge: A Cross-Sectional Study.,"Background: Hospital infections in pediatric units increase the length of hospital stay and the use of antibiotics, and this causes exposure to more procedures. This study was aimed to determine the microorganisms represented in the hand flora of pediatric patients at the beginning of hospitalization and before discharge. Methods: The study was designed as a prospective cross-sectional study. This prospective study was performed with 124 pediatric patients. After completion of the admission procedures, an initial sample was taken from the hands of the hospitalized patients. Another sample was taken from the patients just before discharging. Results: Growth of coagulase-negative staphylococcus (CNS) was observed in the culture samples of 28 patients. Cultures from 23 patients showed different microorganisms such as Staphylococcus aureus, Escherichia coli, and S. epidermis. Examination of final discharge cultures showed CNS in 43 patients, S. aureus in 5 patients, E. coli in 8 patients, Acinetobacter baumannii in 11 patients, and Kocuria rhizophila, K. kristinae, Candida spp., Pseudomonas spp., and Enterococcus in 1 patient. Conclusion: The cultures from samples obtained at discharge showed the presence of antibiotic-resistant pathogenic microorganisms causing healthcare associated infection.",2413-7170 (Electronic) 1029-1857 (Linking),2020 Nov,,"['10.4314/ejhs.v30i6.4 [doi]', 'jEJHS.v30.i6.pg875 [pii]']",['eng'],Ethiopia,"['Child hospitalized', 'hand hygiene', 'healthcare associated infection']","['(c) 2020 Emriye H.Y., et al.']",,
6,33882891,"['Peng, Xiaoshan', 'Zhou, Wei', 'Zhu, Yu', 'Wan, Chaomin']","Epidemiology, risk factors and outcomes of bloodstream infection caused by ESKAPEEc pathogens among hospitalized children.","BACKGROUND: Bloodstream infection (BSI) resulting from ESKAPEEc pathogens (Enterococcus faecium, Staphylococcus aureus, Klebsiella pneumoniae, Escherichia coli, Acinetobacter baumannii, Pseudomonas aeruginosa and Enterobacter spp) is relevant to high mortality and economic cost. Data concerning the impact of BSI due to ESKAPEEc in pediatric population was virtually scant. Our purpose was to summarize the epidemiology, risk factors and outcomes of ESKAPEEc BSI among hospitalized children. METHODS: Inpatients diagnosed with BSI with definite etiology between January 2016 and December 2018 were enrolled retrospectively at the West China Second University Hospital. Data were systematically reviewed on patients' clinical characteristics and laboratory findings to ascertain independent predictors, clinical features and outcomes. RESULTS: Of the 228 patients with BSI, 174 (76.3%) were caused by ESKAPEEc (124 MDR-ESKAPEEc). Multivariate analysis demonstrated that premature and/ or low birth weight (odds ratio [OR] = 2.981, P = 0.036), previous surgery and/or trauma (OR = 5.71, P = 0.029) and source of urinary tract infection (OR = 10.60, P = 0.004) were independently associated with ESKAPEEc BSI. The independent risk factor for MRD-ESKAPEEc BSI was nosocomial infection (OR = 3.314, P = 0.037). The overall mortality rate in patients with ESKAPEEc BSI was 14.4% (25/174), and no significant difference was ascertained in mortality between MRD-ESKAPEEc and non-MRD ESKAPEEc BSI groups (13.7% vs. 11.4%, P = 0.692). In addition, previous surgery and/or trauma, thrombocytopenia, and mechanical ventilation were significant risk factors for mortality caused by ESKAPEEc BSI. CONCLUSIONS: More than two-thirds of BSI among hospitalized children were caused by ESKAPEEc. Previous surgery and/or trauma, thrombocytopenia and mechanical ventilation increased the risk rate for mortality in ESKAPEEc BSI. The risk factors ascertained could assist physicians to early suspect ESKAPEEc BSI and MDR ESKAPEEc BSI.",1471-2431 (Electronic) 1471-2431 (Linking),2021 Apr 21,['ORCID: http://orcid.org/0000-0003-1480-3050'],"['10.1186/s12887-021-02661-9 [doi]', '10.1186/s12887-021-02661-9 [pii]']",['eng'],England,"['Bloodstream infection', 'Children', 'ESKAPEEc pathogens']",,,
7,33878387,"['Abhari, Soha Seyyedi', 'Azizi, Omid', 'Modiri, Leila', 'Aslani, Mohamad Mehdi', 'Assmar, Mehdi', 'Fereshteh, Sepideh', 'Badmasti, Farzad']",Two new rapid PCR-based methods for identification of Acinetobacter baumannii isolated from clinical samples.,"The accurate identification of Acinetobacter spp. is challenging due to their high phenotypic and biochemical similarities. Because clinical relevance and antibiotic susceptibility are significantly different among different genomic species of Acinetobacter, the exact identification of A. baumannii is necessary and it can help us prevent inappropriate antibiotic use and inferior clinical care. This project employed a sequence-specific PCR assay for the rpoB region in A. baumannii to distinguish it from non-Acinetobacter baumannii Acinetobacter species. Moreover, a duplex PCR assay was used to detect blaOXA-51-like and gluconolactonase genes as a second identification method. In this study, 210 isolates of Acinetobacter spp. were considered and identified by PCR-sequencing of rpoB gene as a reference test. PCR-sequencing of rpoB revealed that 179 isolates were A. baumannii and 31 were non- A. baumannii Acinetobacter strains. PCR amplification targeting the rpoB gene as the first method, detected 182 isolates of A. baumannii, while duplex PCR assay confirmed 163 isolates as A. baumannii. Data analysis indicated that the sensitivities of sequence-specific PCR of the rpoB gene and duplex PCR assay were 100% and 91.06%, respectively, while specificities were 91.18% and 100%, respectively. Given the data, it was revealed that these two methods showed a reasonable potential for the accurate identification of A. baumannnii from non- A. baumannii species. Sequence-specific PCR assay for the rpoB gene and duplex PCR assay for blaOXA-51-like and gluconolactonase genes are rapid, reliable and cost-effective methods which can be used in clinical laboratories for the accurate identification of A. baumannii.",1096-1194 (Electronic) 0890-8508 (Linking),2021 Apr 17,,"['S0890-8508(21)00039-6 [pii]', '10.1016/j.mcp.2021.101732 [doi]']",['eng'],England,"['Acinetobacter spp.', 'bla(OXA-51)-like', 'duplex PCR', 'gluconolactonase gene', 'rpoB gene']",['Copyright (c) 2021 Elsevier Ltd. All rights reserved.'],,
8,33852950,"['Silva, Danielle L', 'Lima, Caroline M', 'Magalhaes, Vanessa C R', 'Baltazar, Ludmila M', 'Peres, Nalu T A', 'Caligiorne, Rachel B', 'Moura, Alexandre S', 'Fereguetti, Tatiani', 'Martins, Juliana C', 'Rabelo, Livia F', 'Abrahao, Jonatas S', 'Lyon, Ana C', 'Johann, Susana', 'Santos, Daniel A']",Fungal and bacterial coinfections increase mortality of severely ill COVID-19 patients.,"BACKGROUND: SARS-CoV-2 predisposes patients to secondary infections; however, a better understanding of the impact of coinfections on the outcome of hospitalized COVID-19 patients is still necessary. AIM: To analyse death risk due to coinfections in COVID-19 patients. METHODS: We evaluated the Odds of death of 212 severely ill COVID-19 patients, with detailed focus on the risks for each pathogen, site of infection, comorbidities and length of hospitalization. FINDINGS: The mortality rate was 50.47%. Fungal and/or bacterial isolation occurred in 89 patients, of which 83.14% died. Coinfected patients stayed hospitalized longer and had an increased Odds of dying (OR = 13.45, R(2)=0.31). The risk of death was increased by bacterial (OR=11.28) and fungal (OR=5.97) coinfections, with increased levels of creatinine, leukocytes, urea and C-reactive protein. Coinfections increased the risk of death if patients suffer from cardiovascular disease (OR= 11.53), diabetes (OR=6.00) or obesity (OR=5.60) in comparison with patients with these comorbidities but without pathogen isolation. The increased risk of death was detected for negative-coagulase Staphylococcus (OR=25.39), Candida non-albicans (OR=11.12), S. aureus (OR=10.72), Acinetobacter spp. (OR=6.88), Pseudomonas spp. (OR=4.77) and C. albicans (OR=3.97). The high-risk sites of infection were blood, tracheal aspirate and urine. Patients with coinfection undergoing invasive mechanical ventilation were 3.8 times more likely to die than those without positive cultures. CONCLUSIONS: Severe COVID-19 patients with secondary coinfections required longer hospitalization and had higher risk of death. The early diagnosis of coinfections is essential to identify high-risk patients and to determine the right interventions to reduce mortality.",1532-2939 (Electronic) 0195-6701 (Linking),2021 Apr 11,,"['S0195-6701(21)00151-1 [pii]', '10.1016/j.jhin.2021.04.001 [doi]']",['eng'],England,"['COVID-19', 'bacterial', 'coinfections', 'fungal', 'mortality']","['Copyright (c) 2021 The Healthcare Infection Society. Published by Elsevier Ltd.', 'All rights reserved.']",,
9,33851593,"['Salmanov, Aidyn G', 'Ushkalov, Valerii O', 'Shunko, Yelizaveta Ye', 'Piven, Natalie', 'Vygovska, Liliia M', 'Verner, Olha M', 'Kushnirenko, Stella']","ONE HEALTH: ANTIBIOTIC-RESISTANT BACTERIA CONTAMINATION IN FRESH VEGETABLES SOLD AT A RETAIL MARKETS IN KYIV, UKRAINE.","OBJECTIVE: The aim: To obtain the first estimates data on the occurrence of antibiotic-resistant bacteria in a wide range of fresh vegetables available in the Kyiv city markets. PATIENTS AND METHODS: Materials and methods: We performed a multicenter study. Fresh vegetables samples were collected of the six different commodity groups from eleven of retail stores locatedin Kyiv, Ukraine. Samples were tested for up to eight bacteria of concern. The susceptibility to antibiotics was determined by disk diffusion method according to the European Committee on Antimicrobial Susceptibility Testing. RESULTS: Results: The antibiotic-resistant bacteria contamination in the fresh vegetables was 24.3%. The contamination among organic produce was significantly higher than in conventionally products. Contamination was found to be higher in leafy vegetables. The predominant contaminated bacteria were: Escherichia coli, Enterobacter spp. And Enterococcus faecalis, followed by Klebsiella pneumoniae, Pseudomonas aeruginosa, E. faecium, Staphylococcus aureus and Acinetobacter spp. The overall proportion of extended spectrum beta-lactamase (ESBL) production among Enterobacteriaceae was 36.8% and of methicillin-resistance in S. aureus (MRSA) 10.7%. The prevalence of ESBL production among E. coli isolates was significantly higher than in K. pneumoniae. Vancomycin resistance was observed in 3.1% of isolated enterococci (VRE). Carbapenem resistance was identified in 35.3% of P.aeruginosa isolates and 66.8% of Acinetibacter spp. isolates. Resistance to third-generation cephalosporins was observed in 9.7% K. pneumoniae and E.coli in 14.2% isolates. CONCLUSION: Conclusions: Research has shown that the majority of fresh vegetables available in Kiev markets is contaminated with antibiotic-resistant bacteria and is a potential vehicle for the transmission of these pathogens to consumers.",0043-5147 (Print) 0043-5147 (Linking),2021,,,['eng'],Poland,"['Antimicrobial Resistance', 'Bacterial contamination', 'Fresh Vegetables', 'Retail', 'Ukraine']",,['0 (Anti-Bacterial Agents)'],"['Anti-Bacterial Agents/pharmacology/therapeutic use', 'Bacteria', 'Drug Resistance, Bacterial', 'Escherichia coli', 'Humans', '*One Health', 'Staphylococcus aureus', 'Ukraine', '*Vegetables']"
