pubmed_id,paper:title,paper:doi,paper:authors,paper:keywords
24501647,"Genome sequence of Frateuria aurantia type strain (Kondô 67(T)), a xanthomonade isolated from Lilium auratium Lindl.",10.4056/sigs.4338002,"[{'lastname': 'Anderson', 'firstname': 'Iain', 'initials': 'I', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Teshima', 'firstname': 'Huzuki', 'initials': 'H', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; Los Alamos National Laboratory, Bioscience Division, Los Alamos, New Mexico, USA.'}, {'lastname': 'Nolan', 'firstname': 'Matt', 'initials': 'M', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Lapidus', 'firstname': 'Alla', 'initials': 'A', 'affiliation': 'Theodosius Dobzhansky Center for Genome Bionformatics, St. Petersburg State University, St. Petersburg, Russia ; Algorithmic Biology Lab, St. Petersburg Academic University, St.Petersburg, Russia.'}, {'lastname': 'Tice', 'firstname': 'Hope', 'initials': 'H', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Del Rio', 'firstname': 'Tijana Glavina', 'initials': 'TG', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Cheng', 'firstname': 'Jan-Fang', 'initials': 'JF', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Han', 'firstname': 'Cliff', 'initials': 'C', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; Los Alamos National Laboratory, Bioscience Division, Los Alamos, New Mexico, USA.'}, {'lastname': 'Tapia', 'firstname': 'Roxanne', 'initials': 'R', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; Los Alamos National Laboratory, Bioscience Division, Los Alamos, New Mexico, USA.'}, {'lastname': 'Goodwin', 'firstname': 'Lynne A', 'initials': 'LA', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; Los Alamos National Laboratory, Bioscience Division, Los Alamos, New Mexico, USA.'}, {'lastname': 'Pitluck', 'firstname': 'Sam', 'initials': 'S', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Liolios', 'firstname': 'Konstantinos', 'initials': 'K', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Mavromatis', 'firstname': 'Konstantinos', 'initials': 'K', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Pagani', 'firstname': 'Ioanna', 'initials': 'I', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Ivanova', 'firstname': 'Natalia', 'initials': 'N', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Mikhailova', 'firstname': 'Natalia', 'initials': 'N', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Pati', 'firstname': 'Amrita', 'initials': 'A', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Chen', 'firstname': 'Amy', 'initials': 'A', 'affiliation': 'Biological Data Management and Technology Center, Lawrence Berkeley National Laboratory, Berkeley, California, USA.'}, {'lastname': 'Palaniappan', 'firstname': 'Krishna', 'initials': 'K', 'affiliation': 'Biological Data Management and Technology Center, Lawrence Berkeley National Laboratory, Berkeley, California, USA.'}, {'lastname': 'Land', 'firstname': 'Miriam', 'initials': 'M', 'affiliation': 'Oak Ridge National Laboratory, Oak Ridge, Tennessee, USA.'}, {'lastname': 'Rohde', 'firstname': 'Manfred', 'initials': 'M', 'affiliation': 'HZI - Helmholtz Centre for Infection Research, Braunschweig, Germany.'}, {'lastname': 'Lang', 'firstname': 'Elke', 'initials': 'E', 'affiliation': 'Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures, Braunschweig, Germany.'}, {'lastname': 'Detter', 'firstname': 'John C', 'initials': 'JC', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; Los Alamos National Laboratory, Bioscience Division, Los Alamos, New Mexico, USA.'}, {'lastname': 'Göker', 'firstname': 'Markus', 'initials': 'M', 'affiliation': 'Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures, Braunschweig, Germany.'}, {'lastname': 'Woyke', 'firstname': 'Tanja', 'initials': 'T', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Bristow', 'firstname': 'James', 'initials': 'J', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Eisen', 'firstname': 'Jonathan A', 'initials': 'JA', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; University of California Davis Genome Center, Davis, California, USA.'}, {'lastname': 'Markowitz', 'firstname': 'Victor', 'initials': 'V', 'affiliation': 'Biological Data Management and Technology Center, Lawrence Berkeley National Laboratory, Berkeley, California, USA.'}, {'lastname': 'Hugenholtz', 'firstname': 'Philip', 'initials': 'P', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA ; Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, The University of Queensland, Brisbane, Australia.'}, {'lastname': 'Kyrpides', 'firstname': 'Nikos C', 'initials': 'NC', 'affiliation': 'DOE Joint Genome Institute, Walnut Creek, California, USA.'}, {'lastname': 'Klenk', 'firstname': 'Hans-Peter', 'initials': 'HP', 'affiliation': 'Leibniz Institute DSMZ - German Collection of Microorganisms and Cell Cultures, Braunschweig, Germany.'}]","['GEBA', 'Xanthomonadaceae', 'acetogenic', 'mesophilic', 'motile', 'rod-shaped', 'strictly aerobic', '‘Acetobacter aurantius’']"
33827899,Prevalence of ,10.1128/JCM.00127-21,"[{'lastname': 'Tamma', 'firstname': 'Pranita D', 'initials': 'PD', 'affiliation': 'Department of Pediatrics, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA ptamma1@jhmi.edu psimner1@jhmi.edu.'}, {'lastname': 'Smith', 'firstname': 'Tiffeny T', 'initials': 'TT', 'affiliation': 'GenMark Diagnostics Inc., Carlsbad, California, USA.'}, {'lastname': 'Adebayo', 'firstname': 'Ayomikun', 'initials': 'A', 'affiliation': 'Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.'}, {'lastname': 'Karaba', 'firstname': 'Sara M', 'initials': 'SM', 'affiliation': 'Department of Medicine, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.'}, {'lastname': 'Jacobs', 'firstname': 'Emily', 'initials': 'E', 'affiliation': 'Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.'}, {'lastname': 'Wakefield', 'firstname': 'Teresa', 'initials': 'T', 'affiliation': 'Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.'}, {'lastname': 'Nguyen', 'firstname': 'Kelly', 'initials': 'K', 'affiliation': 'GenMark Diagnostics Inc., Carlsbad, California, USA.'}, {'lastname': 'Whitfield', 'firstname': 'Natalie N', 'initials': 'NN', 'affiliation': 'GenMark Diagnostics Inc., Carlsbad, California, USA.'}, {'lastname': 'Simner', 'firstname': 'Patricia J', 'initials': 'PJ', 'affiliation': 'Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA ptamma1@jhmi.edu psimner1@jhmi.edu.'}]",[]
33820890,Antimicrobial resistance profile of ,10.4014/jmb.2102.02027,"[{'lastname': 'Cha', 'firstname': 'Min-Hyeok', 'initials': 'MH', 'affiliation': 'Laboratory of Food Safety and Evaluation, Department of Biotechnology, Korea University Graduate School, Seoul, Republic of Korea.'}, {'lastname': 'Kim', 'firstname': 'Sun Hee', 'initials': 'SH', 'affiliation': 'Division of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, Republic of Korea.'}, {'lastname': 'Kim', 'firstname': 'Seokhwan', 'initials': 'S', 'affiliation': 'Division of Food Microbiology, National Institute of Food and Drug Safety Evaluation, Ministry of Food and Drug Safety, Cheongju, Republic of Korea.'}, {'lastname': 'Lee', 'firstname': 'Woojung', 'initials': 'W', 'affiliation': 'Division of Food Microbiology, National Institute of Food and Drug Safety Evaluation, Ministry of Food and Drug Safety, Cheongju, Republic of Korea.'}, {'lastname': 'Kwak', 'firstname': 'Hyo-Sun', 'initials': 'HS', 'affiliation': 'Department of Food Science and Biotechnology. Kyung Hee University, Gyeonggi-do, Republic of Korea.'}, {'lastname': 'Chi', 'firstname': 'Young-Min', 'initials': 'YM', 'affiliation': 'Division of Biotechnology, College of Life Sciences and Biotechnology, Korea University, Seoul, Republic of Korea.'}, {'lastname': 'Woo', 'firstname': 'Gun-Jo', 'initials': 'GJ', 'affiliation': 'Laboratory of Food Safety and Evaluation, Department of Biotechnology, Korea University Graduate School, Seoul, Republic of Korea.'}]","['Acinetobacter', 'antimicrobial resistance', 'colistin resistance', 'food surveillance', 'meat']"
33812722,Frequency and associated factors for carbapenem-non-susceptible Bacteroides fragilis group bacteria colonization in hospitalized patients: Case control study in a university hospital in Turkey.,10.1016/j.ijmmb.2021.03.018,"[{'lastname': 'Ulger Toprak', 'firstname': 'Nurver', 'initials': 'N', 'affiliation': 'Department of Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: nulger@marmara.edu.tr.'}, {'lastname': 'Akgul', 'firstname': 'Oncu', 'initials': 'O', 'affiliation': 'Department of Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: oncu_akgul@hotmail.com.'}, {'lastname': 'Bilgin', 'firstname': 'Huseyin', 'initials': 'H', 'affiliation': 'Department of Infectious Disease and Clinical Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: husambilginer@gmail.com.'}, {'lastname': 'Ozaydin', 'firstname': 'Ayse Nilufer', 'initials': 'AN', 'affiliation': 'Department of Public Health, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: nozaydin@gmail.com.'}, {'lastname': 'Altinkanat Gelmez', 'firstname': 'Gulsen', 'initials': 'G', 'affiliation': 'Department of Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: gulsenaltinkanat@yahoo.com.'}, {'lastname': 'Sayin', 'firstname': 'Elvan', 'initials': 'E', 'affiliation': 'Department of Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: elvan_hasturk@hotmail.com.'}, {'lastname': 'Sili', 'firstname': 'Uluhan', 'initials': 'U', 'affiliation': 'Department of Infectious Disease and Clinical Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: uluhan.sili@marmara.edu.tr.'}, {'lastname': 'Korten', 'firstname': 'Volkan', 'initials': 'V', 'affiliation': 'Department of Infectious Disease and Clinical Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: korten@marmara.edu.tr.'}, {'lastname': 'Soyletir', 'firstname': 'Guner', 'initials': 'G', 'affiliation': 'Department of Microbiology, Marmara University School of Medicine, Istanbul, Turkey. Electronic address: gsoyletir@yahoo.com.'}]","['Bacteroides fragilis group', 'Carbapenem resistance', 'Metallo-β-lactamase. cfiA gene', 'Risk factors']"
33811771,A clinical review and history of pubic lice.,10.1111/ced.14666,"[{'lastname': 'Patel', 'firstname': 'P U', 'initials': 'PU', 'affiliation': 'Norfolk and Norwich University Trust Hospital.'}, {'lastname': 'Tan', 'firstname': 'A', 'initials': 'A', 'affiliation': 'Genitourinary Medicine Department: iCASH Norwich, Cambridge community services NHS trust.'}, {'lastname': 'Levell', 'firstname': 'N J', 'initials': 'NJ', 'affiliation': 'Norfolk and Norwich University Trust Hospital.'}]",[]
33807946,Urinary Microbiome Characteristics in Female Patients with Acute Uncomplicated Cystitis and Recurrent Cystitis.,10.3390/jcm10051097,"[{'lastname': 'Yoo', 'firstname': 'Jeong-Ju', 'initials': 'JJ', 'affiliation': 'Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Shin', 'firstname': 'Hee Bong', 'initials': 'HB', 'affiliation': 'Department of Laboratory Medicine and Genetics, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Song', 'firstname': 'Ju Sun', 'initials': 'JS', 'affiliation': 'GC Genome, Green Cross Laboratories, Department of Laboratory Medicine, Yongin 16924, Korea.'}, {'lastname': 'Kim', 'firstname': 'Minjung', 'initials': 'M', 'affiliation': 'GC Genome, Green Cross Laboratories, Department of Laboratory Medicine, Yongin 16924, Korea.'}, {'lastname': 'Yun', 'firstname': 'Jina', 'initials': 'J', 'affiliation': 'Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Kim', 'firstname': 'Zisun', 'initials': 'Z', 'affiliation': 'Department of Surgery, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Lee', 'firstname': 'Yoo Min', 'initials': 'YM', 'affiliation': 'Department of Pediatrics, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Lee', 'firstname': 'Sang Wook', 'initials': 'SW', 'affiliation': 'Department of Urology, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Lee', 'firstname': 'Kwang Woo', 'initials': 'KW', 'affiliation': 'Department of Urology, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Kim', 'firstname': 'Woong Bin', 'initials': 'WB', 'affiliation': 'Department of Urology, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Ryu', 'firstname': 'Chang Beom', 'initials': 'CB', 'affiliation': 'Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Park', 'firstname': 'Sung-Woo', 'initials': 'SW', 'affiliation': 'Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Park', 'firstname': 'Seong Kyu', 'initials': 'SK', 'affiliation': 'Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'Song', 'firstname': 'Ho-Yeon', 'initials': 'HY', 'affiliation': 'Department of Microbiology and Immunology, School of Medicine, Soonchunhyang University, Cheonan 31151, Korea.'}, {'lastname': 'Kim', 'firstname': 'Young Ho', 'initials': 'YH', 'affiliation': 'Department of Urology, Soonchunhyang University Bucheon Hospital, Bucheon 14584, Korea.'}, {'lastname': 'On The Behalf Of Sms Soonchunhyang Microbiome Multi-Disciplinary Study Group', 'firstname': None, 'initials': None, 'affiliation': None}]","['16S rRNA next-generation sequencing', 'cystitis', 'microbiome', 'urinary tract infection']"
33844321,Adherence ability and serum resistance of different hospital clusters of Acinetobacter baumannii.,10.1111/lam.13484,"[{'lastname': 'Uber', 'firstname': 'Ana Paula', 'initials': 'AP', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}, {'lastname': 'Viana', 'firstname': 'Giselle Fukita', 'initials': 'GF', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}, {'lastname': 'Lodi', 'firstname': 'Fernanda Gomes', 'initials': 'FG', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}, {'lastname': 'Dos Anjos Szczerepa', 'firstname': 'Márcia Maria', 'initials': 'MM', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}, {'lastname': 'Carrara-Marroni', 'firstname': 'Floristher Elaine', 'initials': 'FE', 'affiliation': 'Department of Applied Pathology, Clinical and Toxicological Analysis, State University of Londrina, Londrina, Paraná, Brazil.'}, {'lastname': 'Gimenes', 'firstname': 'Fabricia', 'initials': 'F', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}, {'lastname': 'Nishiyama', 'firstname': 'Sheila Alexandra Belini', 'initials': 'SAB', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}, {'lastname': 'Tognim', 'firstname': 'Maria Cristina Bronharo', 'initials': 'MCB', 'affiliation': 'Laboratory of Medical Microbiology, Department of Basic Health Sciences, State University of Maringá, Maringá, Paraná, Brazil.'}]","['\nAcinetobacter baumannii\n', 'Abiotic surfaces', 'Adherence', 'Epithelial cells', 'Hospital clusters', 'Serum resistance']"
33842764,Discovery of a Dimeric Zinc Complex and Five Cyclopentenone Derivatives from the Sponge-Associated Fungus ,10.1021/acsomega.0c06218,"[{'lastname': 'Guo', 'firstname': 'Cui', 'initials': 'C', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nUniversity of Chinese Academy of Sciences, Beijing 100049, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Wang', 'firstname': 'Pei', 'initials': 'P', 'affiliation': 'Institute of Tropical Bioscience and Biotechnology, Chinese Academy of Tropical Agricultural Sciences, Haikou 571101, China.'}, {'lastname': 'Pang', 'firstname': 'Xiaoyan', 'initials': 'X', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Lin', 'firstname': 'Xiuping', 'initials': 'X', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nSouthern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou 511458, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Liao', 'firstname': 'Shengrong', 'initials': 'S', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nSouthern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou 511458, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Yang', 'firstname': 'Bin', 'initials': 'B', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nSouthern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou 511458, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Zhou', 'firstname': 'Xuefeng', 'initials': 'X', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nSouthern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou 511458, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Wang', 'firstname': 'Junfeng', 'initials': 'J', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nSouthern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou 511458, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}, {'lastname': 'Liu', 'firstname': 'Yonghong', 'initials': 'Y', 'affiliation': 'CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nSouthern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou 511458, China.\nUniversity of Chinese Academy of Sciences, Beijing 100049, China.\nGuangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nRNAM Center for Marine Microbiology, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou 510301, China.\nInnovation Academy of South China Sea Ecology and Environmental Engineering, Chinese Academy of Sciences, Guangzhou 510301, China.'}]",[]
33842399,A Potential Combination Therapy of Berberine Hydrochloride With Antibiotics Against Multidrug-Resistant ,10.3389/fcimb.2021.660431,"[{'lastname': 'Li', 'firstname': 'Xiaobo', 'initials': 'X', 'affiliation': 'School of Chemical Engineering and Technology, Key Laboratory of Systems Bioengineering (Ministry of Education), Frontiers Science Center for Synthetic Biology, Tianjin University, Tianjin, China.\nTianjin Modern Innovative TCM Technology Co. Ltd., Tianjin, China.'}, {'lastname': 'Song', 'firstname': 'Yanqing', 'initials': 'Y', 'affiliation': 'School of Engineering, University of Glasgow, Glasgow, United Kingdom.'}, {'lastname': 'Wang', 'firstname': 'Lina', 'initials': 'L', 'affiliation': 'School of Chemical Engineering and Technology, Key Laboratory of Systems Bioengineering (Ministry of Education), Frontiers Science Center for Synthetic Biology, Tianjin University, Tianjin, China.'}, {'lastname': 'Kang', 'firstname': 'Guangbo', 'initials': 'G', 'affiliation': 'School of Chemical Engineering and Technology, Key Laboratory of Systems Bioengineering (Ministry of Education), Frontiers Science Center for Synthetic Biology, Tianjin University, Tianjin, China.'}, {'lastname': 'Wang', 'firstname': 'Ping', 'initials': 'P', 'affiliation': 'Tianjin Modern Innovative TCM Technology Co. Ltd., Tianjin, China.'}, {'lastname': 'Yin', 'firstname': 'Huabing', 'initials': 'H', 'affiliation': 'School of Engineering, University of Glasgow, Glasgow, United Kingdom.'}, {'lastname': 'Huang', 'firstname': 'He', 'initials': 'H', 'affiliation': 'School of Chemical Engineering and Technology, Key Laboratory of Systems Bioengineering (Ministry of Education), Frontiers Science Center for Synthetic Biology, Tianjin University, Tianjin, China.'}]","['Acinetobacter baumannii', 'AdeABC', 'antibiotic sensitization', 'berberine hydrochloride', 'multidrug-resistance', 'synergistic effect']"
33839188,A Comprehensive Approach to Ending an Outbreak of Rare bla,10.1016/j.ajic.2021.03.022,"[{'lastname': 'McKinsey', 'firstname': 'David S', 'initials': 'DS', 'affiliation': 'Research Medical Center, Kansas City, MO. Electronic address: david.mckinsey@hcamidwest.com.'}, {'lastname': 'Gasser', 'firstname': 'Carolyn', 'initials': 'C', 'affiliation': 'Research Medical Center, Kansas City, MO.'}, {'lastname': 'McKinsey', 'firstname': 'Joel P', 'initials': 'JP', 'affiliation': 'Research Medical Center, Kansas City, MO.'}, {'lastname': 'Ditto', 'firstname': 'Geri', 'initials': 'G', 'affiliation': 'Research Medical Center, Kansas City, MO.'}, {'lastname': 'Agard', 'firstname': 'Alyssa', 'initials': 'A', 'affiliation': 'Research Medical Center, Kansas City, MO.'}, {'lastname': 'Zellmer', 'firstname': 'Brianna', 'initials': 'B', 'affiliation': 'Research Medical Center, Kansas City, MO.'}, {'lastname': 'Poteete', 'firstname': 'Carrie', 'initials': 'C', 'affiliation': 'Research Medical Center, Kansas City, MO.'}, {'lastname': 'Vagnone', 'firstname': 'Paula Snippes', 'initials': 'PS', 'affiliation': 'Minnesota Department of Health Public Health Laboratory, Infectious Disease Section, St. Paul, MN.'}, {'lastname': 'Dale', 'firstname': 'Jennifer L', 'initials': 'JL', 'affiliation': 'Minnesota Department of Health Public Health Laboratory, Infectious Disease Section, St. Paul, MN.'}, {'lastname': 'Bos', 'firstname': 'John', 'initials': 'J', 'affiliation': 'Missouri Department of Health and Senior Services, Jefferson City MO.'}, {'lastname': 'Hahn', 'firstname': 'Rachael', 'initials': 'R', 'affiliation': 'Missouri Department of Health and Senior Services, Jefferson City MO.'}, {'lastname': 'Turabelidze', 'firstname': 'George', 'initials': 'G', 'affiliation': 'Missouri Department of Health and Senior Services, Jefferson City MO.'}, {'lastname': 'Poiry', 'firstname': 'Madison', 'initials': 'M', 'affiliation': 'Missouri Department of Health and Senior Services, Jefferson City MO.'}, {'lastname': 'Franklin', 'firstname': 'Patrick', 'initials': 'P', 'affiliation': 'Missouri Department of Health and Senior Services, Jefferson City MO.'}, {'lastname': 'Vlachos', 'firstname': 'Nicholas', 'initials': 'N', 'affiliation': 'Division of Healthcare Quality Promotion, Centers for Disease Control and Prevention, Atlanta, GA.'}, {'lastname': 'McAllister', 'firstname': 'Gillian A', 'initials': 'GA', 'affiliation': 'Division of Healthcare Quality Promotion, Centers for Disease Control and Prevention, Atlanta, GA.'}, {'lastname': 'Halpin', 'firstname': 'Alison Laufer', 'initials': 'AL', 'affiliation': 'Division of Healthcare Quality Promotion, Centers for Disease Control and Prevention, Atlanta, GA; Commissioned Corps, U.S. Public Health Service, Rockville MD.'}, {'lastname': 'Glowicz', 'firstname': 'Janet', 'initials': 'J', 'affiliation': 'Division of Healthcare Quality Promotion, Centers for Disease Control and Prevention, Atlanta, GA.'}, {'lastname': 'Ham', 'firstname': 'D Cal', 'initials': 'DC', 'affiliation': 'Division of Healthcare Quality Promotion, Centers for Disease Control and Prevention, Atlanta, GA.'}, {'lastname': 'Epstein', 'firstname': 'Lauren', 'initials': 'L', 'affiliation': 'Division of Healthcare Quality Promotion, Centers for Disease Control and Prevention, Atlanta, GA.'}]","['Carbapenem resistant Acinetobacter baumannii', 'outbreak control']"
